LimitL,,,,,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_71,168hr,True,1,1436,64,-1.364522,-2.658487,-1.953819,-1.929825,-1.713396,-1.154734,,39.074074,,,0.000000,,1200.000000,,113.333333,,-7.251908,1.633987,-0.922722,-0.016017,-0.015132,5.504587,-0.742574,1.067172,0.922998,-69.183330,-0.012105,,,,-0.003027,21.048890,0.021191,-0.003031,-1.709402,0.084104,1200.000000,0.113948,0.848356,1.746479,-166.666667,-0.341403,-0.536163,-1.053884,0.000000,-1.386764,-1.113861,,45.021123,,,283.333333,,700.000000,,45.000000,,-4.905660,-1.369863,-2.674897,-1.964286,-1.940035,-1.721440,-1.157407,
No_72,168hr,True,1,1529,64,0.000000,-2.053388,-1.779359,-1.757469,-1.406250,-0.925926,,-91.076115,,,-146.153846,,157.142857,,83.333333,,0.000000,-28.466742,-0.577367,-0.063654,-0.059862,90.090090,-0.731707,0.596980,0.655745,-288.153749,-0.056883,,,,-0.071848,30.164977,-0.101769,-0.131823,0.173913,-0.084034,245.454545,-0.488505,-7.796976,1.523702,-78.571429,-0.053763,-0.516782,-1.843084,0.000000,15.119974,-0.497512,,-95.749848,,,-60.000000,,650.000000,,58.823529,,-0.754717,-1.178782,-2.479339,-1.788909,-1.940035,-1.567398,-1.160093,
No_73,168hr,True,1,1436,64,-1.171875,-2.459016,-1.953819,-1.929825,-1.564945,-1.160093,,77.528090,,,28.571429,,153.846154,,175.000000,,-9.420290,-0.743211,-0.918485,-0.015939,-0.015062,5.454545,-0.742574,0.980886,0.829100,-217.524116,-0.021088,,,,-0.018076,-7.050597,-0.015064,-0.009047,-1.877133,0.000000,57.500000,-0.057999,-1.705159,1.681614,-158.823529,-0.315491,-0.542021,-0.558565,-20.000000,-1.780978,-1.479655,,40.589971,,,50.000000,,1550.000000,,88.888889,,-9.259259,-1.176471,-2.474227,-1.964286,-1.940035,-1.726845,-1.162791,
No_74,168hr,True,1,1530,64,-0.587084,-1.639344,-1.069519,-1.230228,-0.938967,-0.697674,,-89.750446,,,-216.666667,,-0.000000,,122.222222,,-0.751880,-2.002470,-1.934016,-0.063568,-0.045079,6.250000,-0.771208,0.025295,0.146192,17.199116,-0.057100,,,,-0.051083,9.009879,-0.081140,-0.090239,0.000000,0.932994,133.333333,0.030235,11.687042,1.011804,-58.823529,-0.438939,-0.536283,-0.888367,0.000000,20.333079,-1.216545,,-92.268786,,,-133.333333,,-46.153846,,-33.333333,,-2.517986,-0.588235,-1.443299,-1.073345,-1.060071,-0.941915,-0.699301,
No_75,168hr,True,1,1530,64,-0.976563,-2.249489,-1.601423,-1.581722,-1.408451,-1.157407,,-94.355910,,,-160.000000,,-550.000000,,180.000000,,-2.173913,4.556868,-0.681044,-0.047977,-0.048359,7.017544,-1.055409,0.843234,0.771206,-26.723926,-0.063467,,,,-0.060452,17.259503,-0.015114,-0.033289,-1.535836,0.000000,1000.000000,0.092393,-0.735603,1.288515,-70.588235,-0.251965,-0.575194,1.609799,0.000000,2.856080,-1.098901,,-95.118975,,,500.000000,,66.666667,,100.000000,,-0.711744,-0.784314,-2.061856,-1.431127,-1.587302,-1.257862,-0.930233,
No_76,168hr,True,1,1436,64,-1.364522,-2.862986,-2.131439,-1.929825,-1.560062,-1.154734,,44.317460,,,160.000000,,275.000000,,75.000000,,-9.782609,-0.419447,-1.040462,-0.031987,0.000000,5.504587,-0.728155,0.973372,0.763111,-129.458388,-0.003023,,,,0.006047,10.369367,0.000000,-0.012105,0.000000,-0.084034,660.000000,0.039642,1.722305,1.842546,-173.333333,-0.151745,-0.541688,-1.912474,0.000000,-16.192018,-0.624220,,17.942437,,,-14.285714,,262.500000,,92.857143,,-8.992806,-1.176471,-2.680412,-1.964286,-1.940035,-1.721440,-1.160093,
No_77,168hr,True,1,1436,64,-0.978474,-2.459016,-1.957295,-1.757469,-1.401869,-1.149425,,36.737235,,,-166.666667,,312.500000,,35.000000,,-4.074074,1.018196,-0.580720,-0.047824,-0.030211,5.504587,-0.740741,0.773748,0.719105,-127.584597,-0.054377,,,,-0.021153,-2.037163,-0.030214,-0.024201,0.000000,0.000000,530.000000,0.055998,7.142857,1.670379,-181.250000,-0.209820,-0.536313,-1.942248,0.000000,-0.822475,-0.870647,,55.444887,,,-333.333333,,271.428571,,172.727273,,-7.608696,-1.176471,-2.474227,-1.788909,-1.940035,-1.562500,-1.152074,
No_78,168hr,True,1,1531,64,-0.784314,-2.049180,-1.426025,-1.581722,-1.248050,-0.915332,,-95.402299,,,-90.909091,,-33.333333,,16.666667,,2.681992,14.643159,-0.822562,-0.024004,-0.018169,7.339450,-0.740741,0.733484,0.524786,-238.315345,-0.036335,,,,-0.003028,17.744505,-0.003027,-0.036402,0.000000,-0.084034,-43.333333,0.086138,6.443534,1.093494,-60.000000,-0.208082,-0.556024,0.084645,0.000000,-1.612319,-1.261034,,-93.943140,,,-110.000000,,-46.153846,,11.111111,,-1.098901,-0.785855,-1.855670,-1.431127,-1.587302,-1.251956,-0.917431,
No_79,168hr,True,1,1435,64,-0.978474,-2.459016,-1.957295,-1.757469,-1.406250,-0.919540,,48.463508,,,-1000.000000,,450.000000,,121.052632,,-1.901141,-17.786706,-0.694444,0.000000,0.000000,4.545455,-0.737101,1.193369,0.876609,107.683924,0.011923,,,,0.005962,-5.076931,-0.011923,-0.005968,1.736111,0.168067,118.181818,0.041039,-0.875274,1.706109,-168.750000,-0.222011,0.027928,-0.644395,0.000000,-1.185842,-0.623441,,38.690824,,,80.000000,,210.000000,,169.230769,,-4.511278,-1.176471,-2.474227,-1.788909,-1.940035,-1.567398,-1.152074,
No_80,168hr,True,1,1435,64,-0.978474,-2.459016,-1.957295,-1.757469,-1.560062,-1.149425,,36.123077,,,-28.571429,,35.000000,,107.142857,,-5.283019,-22.928877,-0.930233,-0.071605,-0.042014,2.631579,-0.800000,1.078547,0.987636,-214.022556,-0.027012,,,,-0.042016,-2.142319,-0.069011,-0.063099,-1.538462,-0.084034,300.000000,-0.056917,0.085580,1.558152,-173.333333,-0.094568,-0.525257,-0.383206,-20.000000,-13.414432,-0.375000,,44.103490,,,-57.142857,,133.333333,,333.333333,,-4.029304,-1.176471,-2.474227,-1.964286,-1.940035,-1.564945,-1.152074,
No_81,168hr,True,1,1462,64,-1.562500,-2.653061,-1.953819,-1.929825,-1.716069,-1.160093,,-94.328553,,,-285.714286,,400.000000,,144.444444,,2.214022,21.351783,-0.686499,-0.023760,-0.041889,8.181818,-0.488998,1.962458,1.738841,-958.981233,-0.041894,,,,-0.050871,32.057401,-0.041897,-0.068897,0.173913,0.084104,-44.444444,0.002168,-1.217976,1.410835,-68.750000,0.369724,-0.553042,0.034542,0.000000,-0.576873,-0.492005,,-94.805195,,,,,-37.500000,,15.000000,,-0.740741,-1.568627,-2.469136,-1.964286,-1.940035,-1.724138,-1.162791,
No_82,168hr,True,1,1435,64,-1.754386,-3.061224,-2.304965,-2.101576,-1.869159,-1.379310,,48.588313,,,0.000000,,280.000000,,113.333333,,-1.526718,12.979267,-0.462428,0.007931,-0.003001,0.877193,-0.246914,1.533661,1.425803,-137.976190,-0.012003,,,,-0.018003,-49.239137,-0.018003,0.054088,-0.173611,0.000000,-22.727273,0.094926,5.370496,1.744513,-181.250000,0.350877,-0.472406,-0.396620,-20.000000,-0.969582,-0.374065,,40.305810,,,100.000000,,154.545455,,153.333333,,-8.455882,-1.565558,-2.880658,-2.139037,-2.112676,-1.877934,-1.154734,
No_83,168hr,True,1,1436,64,-1.369863,-2.464066,-1.957295,-1.757469,-1.560062,-1.152074,,54.306377,,,300.000000,,500.000000,,94.444444,,-1.901141,-1.217391,-0.811124,0.007953,0.000000,6.422018,-0.500000,1.562241,1.318500,-77.683316,-0.006002,,,,-0.009003,10.900671,0.012007,0.000000,-1.706485,-0.084034,127.272727,-0.034546,2.092139,1.463140,-186.666667,0.154911,-0.497207,-0.508388,-20.000000,-0.175002,-0.868486,,40.561075,,,-100.000000,,675.000000,,270.000000,,-1.865672,-1.568627,-2.479339,-1.964286,-1.940035,-1.721440,-1.154734,
