SITE_NUM,Unit,LimitL,LimitU,,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,
PART_ID,,,,,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
T_TIME,ms,,,,25880,25840,25838,25907,25883,25813,25830,25872,25855,25837,25889,25898,25864,25838,25812,25836,25864,25898,25839,25528,25528,25528,25528,25528,25528,25528,25528,25529,25528,25529,25528,25528,25527,25528,25530,25528,25528,25529,
Continuity_ILIM,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.205761,-0.000000,0.204499,-0.000000,-0.000000,-0.000000,-0.207900,-0.000000,-0.204082,-0.204499,-0.204499,-0.204499,-0.207469,-0.207469,-0.000000,-0.204082,-0.204499,-0.409836,-0.204918,
Continuity_PG,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.207900,0.209644,0.206612,-0.000000,-0.000000,-0.000000,-0.000000,-0.208333,-0.000000,-0.206612,-0.000000,-0.000000,-0.210970,-0.418410,-0.208333,-0.413223,-0.413223,-0.414079,-0.207039,
Continuity_FREQ,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.205761,0.206186,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.205761,-0.206186,-0.000000,-0.209205,-0.208333,-0.207039,-0.205761,-0.206186,-0.206186,-0.206186,
Continuity_CCM,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.205339,-0.000000,-0.000000,-0.000000,-0.000000,-0.205761,-0.000000,-0.000000,-0.204082,-0.000000,-0.000000,-0.204082,-0.207469,-0.207469,-0.205761,-0.408163,-0.204499,-0.204499,-0.408998,
Continuity_FB,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.206186,0.207039,-0.000000,0.204918,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.204918,-0.204918,-0.204918,-0.208333,-0.207900,-0.206186,-0.204918,-0.204918,-0.409836,-0.205339,
Continuity_COMP,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.205761,0.207039,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.204499,-0.000000,-0.000000,-0.204918,-0.208333,-0.208333,-0.206186,-0.204499,-0.205339,-0.409836,-0.205339,
Continuity_SS,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.207469,0.208333,0.205761,0.206186,-0.000000,-0.000000,-0.000000,-0.000000,-0.205761,-0.000000,-0.000000,-0.000000,-0.209644,-0.209205,-0.207900,-0.205761,-0.412371,-0.206612,-0.411523,
Continuity_VCC,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.444444,0.446429,0.221239,0.221239,0.222717,-0.000000,-0.000000,-0.000000,-0.000000,-0.221239,-0.221239,-0.221239,-0.000000,-0.447427,-0.222717,-0.221239,-0.442478,-0.442478,-0.442478,
Continuity_EXTBIAS,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.177305,0.177305,-0.000000,-0.000000,-0.177305,-0.177305,-0.177305,-0.177305,-0.354610,-0.354610,-0.354610,-0.355240,-0.531915,-0.531915,-0.355240,-0.355240,-0.532860,-0.709220,-0.532860,
P2P_LEAK_IN,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.401709,13.815789,2.027027,11.347518,-30.370370,23.577236,-14.893617,-9.523810,-23.770492,-19.480519,-40.131579,-5.042017,45.283019,11.200000,-5.084746,-18.404908,-33.070866,-27.152318,-24.175824,
