SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_IN,Continuity_SW,Continuity_SENSEN,Continuity_BST,
Unit,,,,ms,,%,%,%,%,
LimitL,,,,,,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,
,,,,,,,,,,
No_63,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_64,0Pre,True,1,26689,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_65,0Pre,True,1,26646,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_66,0Pre,True,1,26697,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_67,0Pre,True,1,26679,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_68,0Pre,True,1,26704,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_69,0Pre,True,1,26600,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_70,0Pre,True,1,26610,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_71,0Pre,True,1,26593,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_72,0Pre,True,1,26669,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_73,0Pre,True,1,26688,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_74,0Pre,True,1,26588,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_75,0Pre,True,1,26637,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_76,0Pre,True,1,26672,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_77,0Pre,True,1,26594,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_78,0Pre,True,1,26628,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_79,0Pre,True,1,26663,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_1,1Post,True,1,7450,205,-0.182482,-0.000000,-0.177305,-0.000000,
No_2,1Post,True,1,7450,205,-0.182149,0.171527,-0.000000,-0.206612,
No_3,1Post,True,1,7450,205,0.182482,0.353357,0.177620,0.210526,
No_4,1Post,True,1,7450,205,0.366300,0.519931,0.355240,0.207900,
No_5,1Post,True,1,7451,205,0.366300,0.350263,0.355872,0.209205,
No_6,1Post,True,1,7450,205,0.366300,0.519031,0.534759,0.416667,
No_7,1Post,True,1,7451,205,0.366300,0.520833,0.533808,0.417537,
No_8,1Post,True,1,7450,205,0.366972,0.513699,0.356506,0.207039,
No_9,1Post,True,1,7451,205,0.366300,0.515464,0.534759,0.207469,
No_10,1Post,True,1,7450,205,0.549451,0.700525,0.355872,0.418410,
No_11,1Post,True,1,7450,205,0.550459,0.516351,0.533808,0.207900,
No_12,1Post,True,1,7450,205,0.733945,0.695652,0.711744,0.418410,
No_13,1Post,True,1,7450,205,0.550459,0.519931,0.534759,0.208333,
No_14,1Post,True,1,7450,205,0.733945,0.521739,0.534759,0.418410,
No_15,1Post,True,1,7451,205,0.549451,0.530035,0.534759,0.210526,
No_16,1Post,True,1,7452,205,2.564103,2.105263,2.669039,1.677149,
No_17,1Post,True,1,7451,205,2.752294,2.079723,2.678571,1.666667,
No_18,1Post,True,1,7450,205,2.752294,2.061856,2.678571,1.455301,
No_19,1Post,True,1,7450,205,2.747253,2.292769,2.673797,1.684211,
No_20,1Post,True,1,7451,205,2.930403,2.272727,2.852050,1.886792,
No_21,1Post,True,1,7451,205,2.935780,2.249135,2.846975,1.875000,
No_22,1Post,True,1,7450,205,3.119266,2.233677,2.846975,1.663202,
No_23,1Post,True,1,7450,205,2.941176,2.405498,2.857143,1.871102,
No_24,1Post,True,1,7381,195,3.853211,2.972028,3.565062,2.310924,
No_25,1Post,True,1,7452,205,3.302752,2.460457,3.024911,1.886792,
No_26,1Post,True,1,7451,205,3.308824,2.413793,3.214286,1.871102,
No_27,1Post,True,1,7450,205,3.302752,2.417962,3.214286,1.871102,
No_28,1Post,True,1,7451,205,3.302752,2.599653,3.214286,1.878914,
No_29,1Post,True,1,7450,205,3.302752,2.572899,3.214286,1.867220,
No_30,1Post,True,1,7451,205,3.486239,2.486679,3.208556,1.898734,
No_31,1Post,True,1,7450,205,3.302752,2.581756,3.214286,1.871102,
No_32,1Post,True,1,7450,205,3.308824,2.413793,3.214286,2.079002,
No_33,1Post,True,1,7450,205,3.302752,2.590674,3.214286,2.079002,
No_34,1Post,True,1,7381,195,3.860294,2.787456,3.750000,2.301255,
No_35,1Post,True,1,7452,205,3.486239,2.456140,3.392857,1.886792,
No_36,1Post,True,1,7450,205,3.486239,2.581756,3.202847,1.867220,
No_37,1Post,True,1,7451,205,3.486239,2.581756,3.386809,1.871102,
No_38,1Post,True,1,7450,205,3.486239,2.650177,3.208556,1.894737,
No_39,1Post,True,1,7450,205,3.486239,2.581756,3.392857,2.079002,
No_40,1Post,True,1,7450,205,3.486239,2.604167,3.392857,2.087683,
No_41,1Post,True,1,7450,205,3.486239,2.626970,3.380783,2.096436,
No_42,1Post,True,1,7451,205,3.669725,2.631579,3.380783,1.890756,
No_43,1Post,True,1,7450,205,3.492647,2.586207,3.398927,2.079002,
No_44,1Post,True,1,7451,205,3.676471,2.753873,3.392857,2.079002,
No_45,1Post,True,1,7451,205,3.669725,2.581756,3.565062,2.286902,
No_46,1Post,True,1,7450,205,3.669725,2.586207,3.565062,2.083333,
No_47,1Post,True,1,7453,205,3.486239,2.626970,3.202847,2.096436,
No_49,1Post,True,1,7450,205,3.860294,2.758621,3.756708,2.291667,
No_50,1Post,True,1,7450,205,3.479853,2.811951,3.558719,2.096436,
No_51,1Post,True,1,7453,205,3.479853,2.599653,3.386809,2.087683,
No_52,1Post,True,1,7450,205,3.479853,2.599653,3.386809,2.083333,
No_53,1Post,True,1,7451,205,3.486239,2.577320,3.392857,2.074689,
No_54,1Post,True,1,7450,205,3.473492,2.650177,3.380783,1.894737,
No_55,1Post,True,1,7451,205,3.290676,2.622378,3.374778,1.882845,
No_56,1Post,True,1,7450,205,3.486239,2.401372,3.386809,1.863354,
No_57,1Post,True,1,7452,205,3.473492,2.586207,3.380783,2.074689,
No_58,1Post,True,1,7451,205,3.473492,2.816901,3.380783,2.100840,
No_59,1Post,True,1,7450,205,3.656307,2.631579,3.368794,2.105263,
No_60,1Post,True,1,7451,205,3.473492,2.631579,3.558719,2.092050,
No_61,1Post,True,1,7450,205,3.473492,2.787456,3.380783,1.882845,
No_62,1Post,True,1,7450,205,3.473492,2.631579,3.374778,2.100840,
No_63,1Post,True,1,7451,205,3.656307,2.577320,3.558719,2.074689,
No_64,1Post,True,1,7450,205,3.656307,2.744425,3.374778,2.070393,
No_65,1Post,True,1,7451,205,3.656307,2.622378,3.374778,1.882845,
No_66,1Post,True,1,7450,205,3.473492,2.572899,3.380783,2.074689,
No_67,1Post,True,1,7450,205,3.656307,2.626970,3.374778,2.096436,
No_68,1Post,True,1,7451,205,3.663004,2.568493,3.380783,2.066116,
No_69,1Post,True,1,7451,205,3.656307,2.577320,3.368794,1.863354,
No_70,1Post,True,1,7450,205,3.649635,2.640845,3.368794,1.894737,
No_71,1Post,True,1,7450,205,3.473492,2.572899,3.374778,2.070393,
No_72,1Post,True,1,7451,205,3.649635,2.622378,3.368794,2.087683,
No_73,1Post,True,1,7451,205,3.649635,2.782609,3.552398,2.092050,
No_74,1Post,True,1,7451,205,3.649635,2.787456,3.368794,2.087683,
No_75,1Post,True,1,7450,205,3.649635,2.590674,3.552398,2.074689,
No_76,1Post,True,1,7451,205,3.460838,2.645503,3.368794,2.109705,
No_77,1Post,True,1,7451,205,3.649635,2.581756,3.539823,2.070393,
No_78,1Post,True,1,7451,205,3.642987,2.590674,3.546099,2.074689,
No_79,1Post,True,1,7451,205,3.642987,2.613240,3.546099,2.083333,
