SITE_NUM,Unit,LimitL,LimitU,,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,
PART_ID,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Vline_regulation_5,%,-10,10,,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-186.637037,45.657448,-18.272293,41.327180,-294.285714,-65.033151,-186.637037,45.657448,-18.272293,41.327180,-294.285714,-65.033151,
Vout_6V,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009006,0.012006,0.003013,0.029953,-0.042076,-0.041832,-0.009006,0.012006,0.003013,0.029953,-0.042076,-0.041832,
Vout_12V,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_20V,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_30V,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Vout_40V,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009007,0.006004,0.000000,0.023966,-0.039071,-0.035861,0.009007,0.006004,0.000000,0.023966,-0.039071,-0.035861,
Vload_regulation_5,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.556479,25.514143,-4.652201,-12.321565,-19.193180,24.951626,21.556479,25.514143,-4.652201,-12.321565,-19.193180,24.951626,
Vout_5mA,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027025,0.027019,0.000000,0.026963,-0.036070,-0.044831,0.027025,0.027019,0.000000,0.026963,-0.036070,-0.044831,
Vout_300mA,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003006,0.000000,0.006035,0.048013,-0.012038,-0.068807,0.003006,0.000000,0.006035,0.048013,-0.012038,-0.068807,
Ven_low,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Ven_high,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.084746,0.000000,0.000000,0.000000,0.676819,0.084104,-0.084746,0.000000,0.000000,0.000000,0.676819,0.084104,
Ien,%,-10,10,,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,55.172414,-235.714286,47.058824,266.666667,-1600.000000,53.125000,55.172414,-235.714286,47.058824,266.666667,-1600.000000,53.125000,
PG_rising,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153967,-0.006461,-0.036615,-0.018347,-0.031275,-0.007562,0.153967,-0.006461,-0.036615,-0.018347,-0.031275,-0.007562,
PG_hys,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.375763,5.019903,-6.116402,-7.032833,-0.306950,-6.611918,2.375763,5.019903,-6.116402,-7.032833,-0.306950,-6.611918,
PG_low,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054201,0.055556,0.055741,0.056625,0.055960,0.112108,0.054201,0.055556,0.055741,0.056625,0.055960,0.112108,
PG_leakage,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,26.666667,0.000000,30.769231,13.333333,13.333333,20.000000,26.666667,0.000000,30.769231,13.333333,13.333333,
PGDL_charg,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055188,0.000000,0.064096,0.090489,0.000000,-0.030151,0.055188,0.000000,0.064096,0.090489,0.000000,-0.030151,
PGDL_rising,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005586,0.027933,0.022477,0.000000,-0.016758,0.039115,-0.005586,0.027933,0.022477,0.000000,-0.016758,0.039115,
PGDL_falling,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.906081,1.645307,0.207828,0.351818,0.066678,0.067705,0.906081,1.645307,0.207828,0.351818,0.066678,0.067705,
PG_reaction,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Post_Ignd100,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.256356,-18.025289,2.397164,4.688357,10.494976,-0.721021,13.256356,-18.025289,2.397164,4.688357,10.494976,-0.721021,
Post_Ishd,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.389105,0.125628,-0.371287,-0.123609,-0.125945,0.375940,-0.389105,0.125628,-0.371287,-0.123609,-0.125945,0.375940,
