SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
No_11,25,True,1,1615,68,0.504,-0.475,-0.552,-0.560,-0.631,-0.429,,0.088,,,0.002,,0.001,,0.002,,0.277,2.8511,2.5206,0.3305,7.741,0.857,1.2578,3.3367,0.357,0.441,177.087,366.867,0.6570,3.3364,,,,3.3370,4.6176,3.3354,3.3308,0.9014,0.647,1.190,0.117,93.046,4.836,0.1772,0.0001,9.561,1.7808,0.5798,0.005,0.830,7.769,,0.069,,,0.001,,0.002,,0.001,,0.277,0.504,-0.474,-0.552,-0.559,-0.630,-0.428,
No_12,25,True,1,1615,68,0.504,-0.473,-0.550,-0.558,-0.628,-0.429,,0.088,,,0.002,,0.001,,0.001,,0.277,2.8544,2.5107,0.3437,7.800,0.834,1.2550,3.3161,0.373,0.416,180.653,374.605,-0.1370,3.3172,,,,3.3171,4.6807,3.3155,3.3109,0.9987,0.656,1.190,0.119,92.906,4.817,0.1780,0.0001,9.401,1.7804,0.5792,0.005,0.793,7.738,,0.067,,,0.001,,0.002,,0.001,,0.277,0.503,-0.473,-0.550,-0.557,-0.628,-0.429,
No_11,125,True,1,1625,68,0.336,-0.291,-0.361,-0.371,-0.419,-0.340,,2.355,,,0.005,,0.004,,0.011,,0.320,2.8510,2.5013,0.3496,8.535,1.108,1.2502,3.3063,0.406,0.421,234.004,485.993,0.1993,3.3063,,,,3.3065,6.4018,3.3060,3.2996,0.9210,0.565,1.192,0.170,92.930,5.946,0.2260,0.0033,10.215,1.6608,0.4661,0.006,1.100,9.226,,2.525,,,0.003,,0.005,,0.011,,0.322,0.331,-0.288,-0.358,-0.367,-0.415,-0.339,
No_12,125,True,1,1625,68,0.322,-0.279,-0.349,-0.359,-0.405,-0.336,,3.014,,,0.007,,0.006,,0.013,,0.329,2.8384,2.5027,0.3357,9.486,1.025,1.2495,3.2968,0.411,0.403,240.737,500.659,0.6400,3.2980,,,,3.2986,7.0694,3.2968,3.2897,0.9869,0.555,1.180,0.177,92.956,6.194,0.2296,0.0053,10.245,1.6502,0.4568,0.006,1.009,9.464,,3.209,,,0.005,,0.006,,0.013,,0.331,0.319,-0.276,-0.346,-0.356,-0.402,-0.335,
No_11,-40,True,1,1610,68,0.579,-0.660,-0.705,-0.711,-0.770,-0.497,,0.060,,,0.006,,0.011,,0.005,,0.249,2.8540,2.5321,0.3220,7.186,0.711,1.2596,3.3481,0.341,0.472,134.991,278.585,-0.2600,3.3496,,,,3.3494,3.4064,3.3487,3.3453,0.8819,0.726,1.210,0.417,92.912,3.870,0.1472,0.0318,9.191,1.8708,0.6705,0.004,0.693,7.242,,0.044,,,-0.009,,0.026,,0.004,,0.250,0.579,-0.659,-0.703,-0.709,-0.769,-0.496,
No_12,-40,True,1,1610,68,0.583,-0.668,-0.711,-0.716,-0.775,-0.501,,0.068,,,0.003,,0.002,,0.001,,0.249,2.8611,2.5113,0.3498,7.143,0.693,1.2545,3.3216,0.366,0.442,136.097,281.133,-2.1473,3.3238,,,,3.3217,4.5063,3.3224,3.3179,1.0079,0.727,1.210,0.095,92.887,3.965,0.1469,0.0006,8.767,1.8705,0.6701,0.004,0.689,7.168,,0.055,,,0.000,,0.002,,0.001,,0.250,0.582,-0.665,-0.709,-0.715,-0.774,-0.500,
No_13,25,True,1,1621,68,0.484,-0.448,-0.527,-0.535,-0.606,-0.416,,0.103,,,0.002,,0.002,,0.001,,0.285,2.8683,2.5200,0.3483,8.211,0.854,1.2619,3.3304,0.355,0.403,185.100,383.860,1.2097,3.3318,,,,3.3330,7.4792,3.3326,3.3251,0.9747,0.637,1.180,0.122,92.611,4.943,0.1827,0.0004,9.676,1.7796,0.5778,0.005,0.823,7.741,,0.073,,,0.000,,0.002,,0.002,,0.284,0.487,-0.451,-0.531,-0.539,-0.609,-0.417,
No_14,25,True,1,1621,68,0.476,-0.439,-0.519,-0.527,-0.596,-0.410,,0.101,,,0.003,,0.002,,0.002,,0.281,2.8359,2.4899,0.3460,8.481,0.855,1.2442,3.2800,0.406,0.414,186.557,385.785,-1.1710,3.2842,,,,3.2831,4.0548,3.2804,3.2764,1.0122,0.635,1.182,0.127,92.720,4.944,0.1833,0.0007,9.953,1.7601,0.5598,0.005,0.825,8.487,,0.084,,,0.000,,0.001,,0.001,,0.282,0.479,-0.442,-0.522,-0.530,-0.600,-0.412,
No_13,125,True,1,1629,68,0.339,-0.292,-0.363,-0.372,-0.420,-0.340,,2.216,,,0.004,,0.004,,0.011,,0.326,2.8298,2.5008,0.3290,9.516,1.019,1.2527,3.3105,0.400,0.393,234.985,488.574,1.5818,3.3099,,,,3.3114,7.0339,3.3117,3.3047,0.9714,0.555,1.181,0.169,92.697,5.944,0.2261,0.0028,10.274,1.6608,0.4676,0.006,0.973,9.229,,2.376,,,0.004,,0.005,,0.011,,0.327,0.334,-0.289,-0.359,-0.369,-0.416,-0.338,
No_14,125,True,1,1629,68,0.326,-0.284,-0.354,-0.364,-0.408,-0.334,,2.791,,,0.005,,0.005,,0.012,,0.327,2.8193,2.4815,0.3378,9.392,1.011,1.2407,3.2727,0.438,0.403,236.234,489.863,2.2018,3.2712,,,,3.2734,6.5462,3.2731,3.2666,1.0028,0.555,1.182,0.174,92.746,6.142,0.2271,0.0038,10.508,1.6508,0.4549,0.006,1.005,9.399,,3.005,,,0.005,,0.006,,0.013,,0.328,0.322,-0.281,-0.351,-0.360,-0.405,-0.332,
No_13,-40,True,1,1616,68,0.585,-0.674,-0.717,-0.722,-0.780,-0.500,,0.063,,,0.006,,0.006,,0.003,,0.251,2.8700,2.5214,0.3487,7.040,0.703,1.2624,3.3390,0.327,0.428,132.713,273.921,-1.0602,3.3397,,,,3.3386,3.1449,3.3392,3.3360,0.9645,0.727,1.200,0.282,92.695,3.935,0.1460,0.0197,9.204,1.8909,0.6884,0.004,0.684,7.003,,0.047,,,-0.001,,0.012,,0.003,,0.251,0.584,-0.672,-0.715,-0.720,-0.779,-0.499,
No_14,-40,True,1,1616,68,0.583,-0.672,-0.715,-0.721,-0.779,-0.497,,0.070,,,0.003,,0.002,,0.002,,0.247,2.8115,2.4911,0.3205,7.050,0.690,1.2439,3.2831,0.385,0.444,132.511,272.405,-3.2575,3.2837,,,,3.2805,3.3136,3.2834,3.2801,1.0259,0.726,1.210,0.099,92.516,3.799,0.1452,0.0003,9.565,1.8699,0.6805,0.004,0.679,7.131,,0.056,,,0.001,,0.002,,0.002,,0.247,0.582,-0.670,-0.713,-0.719,-0.777,-0.496,
