SBin[31]  Ilimit__AllFail                 0     0.00%   6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[47]  Vout_5__AllFail                 0     0.00%   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[51]  Vdropout_5_50mA__AllFail        0     0.00%   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[53]  Vdropout_5_300mA__AllFail        0     0.00%   9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[54]  Vline_regulation_5__AllFail        0     0.00%   10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[55]  Ven_low__AllFail                0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[56]  Ven_high__AllFail               0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[57]  Ien__AllFail                    0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[58]  PG_rising__AllFail              0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[59]  PG_hys__AllFail                 0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[60]  PG_low__AllFail                 0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[61]  PG_leakage__AllFail             0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[62]  PGDL_charg__AllFail             0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[63]  PGDL_rising__AllFail            0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[64]  PGDL_falling__AllFail           0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[65]  PG_reaction__AllFail            0     0.00%   11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[66]  Tss__AllFail                    0     0.00%   12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBin[67]  Vload_regulation_33__AllFail        0     0.00%   13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin1,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vload_regulation_33,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,uA,,mV,mV,mV,mV,mS,v,v,uA,%,%,V,uA,uA,V,V,om
LimitL,,,,,,0.1,-1,-1,-1,-1,-1,-5,-5,-10,-5,-5,-5,-5,-5,-5,-5,-5,,,1.225,4.8,,0.6,,349,,,0,,,,90,3,0.08,,,1.5,0.26,
LimitU,,,,,,1,-0.1,-0.1,-0.1,-0.1,-0.1,5,5,10,5,5,5,5,5,5,5,5,16,1,1.275,5.082,1,1.35,289,,300,3.5,1.01,,,0.5,95,7,0.4,0.015,13.9,2,0.71,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,TRUE,1,1153,39,0.51,-0.485,-0.585,-0.573,-0.405,-0.581,,2.534,,,0.192,,0.026,,0.033,,0.325,12.015,0.153,1.265,4.991,0.786,0.93,142.321,417.778,28.773,-449.063,0.764,0.03,1.99,-0.001,91.837,5.139,0.361,-0.029,5.567,1.641,0.384,0.034
2,1,TRUE,1,1153,39,0.511,-0.486,-0.586,-0.573,-0.403,-0.581,,1.215,,,0.19,,0.033,,0.053,,0.323,11.701,0.209,1.265,4.979,0.795,0.87,153.459,431.893,30.844,-470.367,0.806,0.03,1.99,0,91.675,4.81,0.32,-0.008,5.452,1.641,0.358,0.035
3,1,TRUE,1,1153,39,0.51,-0.485,-0.585,-0.572,-0.4,-0.581,,3.179,,,0.166,,0.029,,0.019,,0.336,12.293,0.2,1.273,4.987,0.811,1.03,144.62,410.481,27.629,-431.676,0.766,0.03,1.99,-0.001,90.738,4.625,0.349,-0.012,5.715,1.651,0.38,0.035
4,1,TRUE,1,1153,39,0.509,-0.483,-0.585,-0.572,-0.398,-0.581,,2.909,,,0.202,,0.031,,0.038,,0.346,12.03,0.199,1.267,5.011,0.827,0.96,126.087,417.755,23.219,-447.23,0.777,0.03,1.99,0,91.318,4.474,0.337,-0.017,5.689,1.647,0.386,0.036
1,2,TRUE,1,1153,39,0.508,-0.483,-0.583,-0.571,-0.404,-0.579,,2.866,,,0.2,,0.03,,0.029,,0.318,12.02,0.124,1.265,4.991,0.856,0.93,141.398,418.77,29.003,-450.084,0.764,0.03,1.99,0,91.802,5.134,0.362,-0.029,5.569,1.64,0.384,0.034
2,2,TRUE,1,1153,39,0.509,-0.484,-0.584,-0.571,-0.402,-0.58,,1.812,,,0.197,,0.031,,0.045,,0.322,11.707,0.172,1.265,4.978,0.86,0.87,152.261,433.175,30.352,-471.363,0.803,0.03,1.99,0,91.654,4.741,0.321,-0.008,5.454,1.642,0.357,0.035
3,2,TRUE,1,1153,39,0.508,-0.483,-0.583,-0.57,-0.4,-0.579,,3.695,,,0.157,,0.028,,0.033,,0.329,12.297,0.168,1.273,4.987,0.866,1.03,144.208,411.693,27.922,-432.577,0.766,0.03,1.99,0,90.747,5.588,0.349,-0.012,5.714,1.651,0.38,0.035
4,2,TRUE,1,1153,39,0.508,-0.481,-0.583,-0.57,-0.397,-0.579,,3.506,,,0.189,,0.032,,0.046,,0.354,12.039,0.16,1.267,5.01,0.879,0.96,126.644,419.113,22.012,-448.175,0.777,0.03,1.99,0,91.402,4.862,0.337,-0.014,5.688,1.647,0.385,0.036
1,3,TRUE,1,1153,39,0.507,-0.482,-0.582,-0.57,-0.403,-0.578,,2.909,,,0.186,,0.02,,0.029,,0.326,12.027,0.11,1.265,4.99,0.868,0.93,141.489,419.418,28.873,-450.501,0.762,0.03,1.99,0,91.797,5.399,0.362,-0.028,5.569,1.642,0.381,0.034
2,3,TRUE,1,1153,39,0.508,-0.483,-0.583,-0.57,-0.401,-0.578,,1.96,,,0.204,,0.025,,0.049,,0.32,11.71,0.159,1.265,4.978,0.872,0.87,152.483,433.64,31.746,-471.78,0.803,0.03,1.99,-0.001,91.624,5.459,0.322,-0.008,5.454,1.642,0.358,0.035
3,3,TRUE,1,1153,39,0.507,-0.482,-0.582,-0.569,-0.399,-0.578,,3.736,,,0.156,,0.032,,0.027,,0.326,12.302,0.15,1.273,4.988,0.879,1.03,144.308,412.342,28.63,-433.025,0.764,0.03,1.99,-0.001,90.67,4.767,0.348,-0.013,5.714,1.651,0.38,0.035
4,3,TRUE,1,1153,39,0.506,-0.48,-0.582,-0.569,-0.397,-0.578,,3.583,,,0.195,,0.028,,0.042,,0.35,12.041,0.161,1.267,5.01,0.884,0.96,126.178,419.792,23.778,-448.71,0.776,0.03,1.99,-0.001,91.389,4.916,0.337,-0.016,5.688,1.648,0.385,0.036
1,4,TRUE,1,1153,39,0.506,-0.482,-0.582,-0.57,-0.403,-0.578,,2.911,,,0.199,,0.028,,0.028,,0.331,12.03,0.115,1.265,4.99,0.872,0.94,142.397,419.853,28.786,-450.874,0.765,0.03,1.99,0,91.805,5.916,0.361,-0.028,5.57,1.642,0.382,0.034
2,4,TRUE,1,1153,39,0.508,-0.482,-0.582,-0.569,-0.401,-0.578,,1.89,,,0.197,,0.034,,0.047,,0.319,11.713,0.165,1.265,4.979,0.876,0.87,152.483,433.907,31.348,-472.215,0.804,0.03,1.99,0,91.492,4.859,0.322,-0.007,5.454,1.642,0.359,0.035
3,4,TRUE,1,1153,39,0.506,-0.481,-0.582,-0.569,-0.399,-0.578,,3.774,,,0.155,,0.034,,0.036,,0.328,12.303,0.156,1.273,4.987,0.883,1.03,144.384,412.822,29.638,-433.46,0.763,0.03,1.99,-0.001,90.636,5.476,0.348,-0.012,5.715,1.651,0.38,0.035
